"","player","nationality","position","squad","age","value","height","foot","games","minutes","goals","assists","pens_made","cards_yellow","cards_red","passes.pct","clean.sheets","popularity","p2","p1","p0","rank"
"1533","IsmaĂ«l Bennacer","dz ALG","MF","Milan",21,17000000,175,"0",31,2485,1,0,0,14,0,87.6,0,5.43,1,0,0,2
"1539","Hakan Ă‡alhanoÄźlu","tr TUR","MF","Milan",25,30000000,178,"0",35,2704,9,9,1,6,0,78.2,0,1.23,1,0,0,2
"1540","Samu Castillejo","es ESP","FW","Milan",24,11000000,182,"0",22,1209,2,3,0,3,1,75.4,0,1.35,0,0,1,2
"1541","Andrea Conti","it ITA","DF","Milan",25,12000000,184,"0",23,1725,0,2,0,8,0,83.8,0,7.98,0,0,0,2
"1542","Gianluigi Donnarumma","it ITA","GK","Milan",20,49000000,196,"0",36,3201,0,0,0,3,0,76.4,12,1.13,0,1,0,2
"1545","Theo HernĂˇndez","fr FRA","DF","Milan",21,32000000,184,"0",33,2817,6,3,0,10,0,83.4,0,9.25,0,0,0,2
"1547","Franck KessiĂ©","ci CIV","MF","Milan",22,20000000,183,"0",35,2904,4,1,2,3,0,89.1,0,3.55,1,0,0,2
"1551","Rafael LeĂŁo","pt POR","FW","Milan",20,20000000,188,"0",31,1404,6,1,0,0,0,76.1,0,6.3,0,0,1,2
"1554","Lucas PaquetĂˇ","br BRA","MF","Milan",21,22000000,180,"0",24,1103,0,1,0,7,0,78.7,0,4.33,1,0,0,2
"1555","Krzysztof PiÄ…tek","pl POL","FW","Milan",24,21500000,183,"0",18,1183,4,0,3,1,0,75.7,0,6.58,0,0,1,2
"1556","Ante RebiÄ‡","hr CRO","FW","Milan",25,32000000,185,"0",26,1395,11,3,0,5,0,50,0,6.23,0,0,1,2
"1559","Alessio Romagnoli","it ITA","DF","Milan",24,36000000,188,"0",35,3091,1,0,0,4,0,92,0,6,0,0,0,2
"1561","AndrĂ© Silva","pt POR","FW","Milan",23,16000000,184,"0",1,60,0,0,0,1,0,70.4,0,6.48,0,0,1,2
"1562","Suso","es ESP","FW","Milan",25,20000000,177,"0",16,1359,1,2,0,2,0,76.9,0,12.68,0,0,1,2
"1673","Allan","br BRA","MF","Napoli",28,25000000,175,"0",23,1280,2,1,0,3,0,86.6,0,8.08,1,0,0,2
"1675","Diego Demme","de GER","MF","Napoli",27,13000000,170,"0",15,902,1,0,0,6,0,91.4,0,6.03,1,0,0,2
"1676","Giovanni Di Lorenzo","it ITA","DF","Napoli",25,16000000,183,"0",33,2970,3,3,0,5,0,88.1,0,3.98,0,0,0,2
